ticket_key,category,type,confidence,reasoning,components
KHELP-11547,Document-Delivery-Issues,Bug-Defect,95,"User is encountering an error when trying to send documents on an itinerary, which is a broken functionality issue in the document delivery system.","Document sending, Itinerary, Error handling"
KHELP-11545,Builder-Add-Service,Bug-Defect,95,This is a defect in the itinerary builder where passenger counts are incorrectly duplicated when adding hotel services to packages/itineraries.,"Package/Itinerary creation, Hotels, Passenger counts"
KHELP-11544,Builder-Edit-Service,Bug-Defect,95,This is a defect in the builder's service editing functionality where changing hotels from line items causes allocation errors after a specific release.,"Itinerary Builder, hotel line items, allocation system, service editing"
KHELP-11543,Builder-Timeline-Dates,Bug-Defect,95,"The issue involves broken validation logic for trip start dates where required field validation is not properly enforced, causing inconsistent behavior in the timeline/dates functionality of the trip builder.","Trip creation form, start date field validation, form submission validation, error generation system"
KHELP-11542,Pricing-Engine-Calculation,Bug-Defect,95,"The itinerary recalculation process is malfunctioning by being stuck for 48+ hours, which is clearly a pricing engine bug rather than normal operation.","Itinerary recalculation system, pricing calculation engine"
KHELP-11541,Tax-Calculation,How-To-Question,95,"User is asking ""How do I do that?"" for adding a tax group, which is a clear how-to question about tax calculation configuration.","Tax groups, tax percentages, tax configuration"
KHELP-11540,Passenger-Data-Entry,Bug-Defect,95,"The system has broken functionality where the save button doesn't appear after updating country/state fields and age calculation is incorrect, which are clear defects in passenger data entry.","Passengers tab, PGI (Passenger General Information), Country field, State field, Age field, DOB field, Save button"
KHELP-11539,Documents-PNR-Import,Bug-Defect,95,"The user is experiencing a technical error ""List index out of bounds: 1"" during PNR import, which indicates a programming defect in the PNR import functionality.","PNR import, itinerary system, error handling"
KHELP-11538,Land-Service-Search,Bug-Defect,95,"The service search is not displaying all available mapped hotels from a specific supplier despite confirmed availability, indicating a defect in the search functionality.","Land service search, supplier integration (Overseas International), hotel mapping, search results display, location-based search"
KHELP-11537,Builder-Add-Service,Bug-Defect,95,"The user encounters an error when trying to manually create insurance services, indicating a defect in the service addition functionality within the Itinerary Builder.","Insurance services, Manual service creation"
KHELP-11536,Price-Breakdown-Groups,Bug-Defect,95,"The breakdown figures are not automatically updating when services are removed from the details screen, which is broken functionality requiring manual workarounds.","KaptioTravel__Itinerary_Item__c, breakdown figures, API lines, cost calculations"
KHELP-11535,Passengers-Customer-Info,Bug-Defect,95,"This is a bug where the AllSOAAccepted field is not properly updating to false when new passengers are added to existing bookings, causing SOA delivery issues in production.","KaptioTravel__AllSOAAccepted__c field, SOA acceptance tracking, passenger addition functionality, field update automation"
KHELP-11534,Document-Delivery-Issues,Bug-Defect,85,"Client cannot access their confirmation document due to authorization errors, indicating a broken document delivery mechanism rather than a configuration question.","Salesforce-sites portal, confirmation documents, customer content access, authorization system"
KHELP-11533,Costings-Margin-Markup,Bug-Defect,95,"This is a defect in the Costings tab where expected cost detail fields are not displaying in the Total segment, confirmed by comparison with working environments.","Costings tab, Total segment, Total Price by Passenger, Costings Layouts"
KHELP-11531,Payment-UI-Forms,Bug-Defect,95,"This is a bug in the payment UI forms area since users are getting stack errors when clicking the ""Make Payment"" button, indicating a system defect.","Make Payment button, Stack error, browser cache, LWC"
KHELP-11528,Pricing-Engine-Calculation,Bug-Defect,95,"The itinerary recalculation process is stuck and not completing as designed, indicating a defect in the pricing engine calculation system.","Itinerary recalculation process, Pricing engine"
KHELP-11527,Documents-Generation-PDF,Bug-Defect,95,"This is a PDF document generation issue where quote PDFs are failing to generate with authorization errors, indicating a defect in the system that broke after another fix.","Quote PDF generation, Download PDF functionality, Authorization system, Kaptio External Site permissions, Site configuration"
KHELP-11526,Invoicing-Generation,How-To-Question,90,"User is asking for guidance on how Kaptio manages invoice number sequences and how to configure them after data migration, which is a consultation question about invoicing functionality.","Sales invoices, auto-generated invoice numbers, invoice sequence numbering, data migration"
KHELP-11525,Payment-UI-Forms,Feature-Request,95,"This is requesting new functionality for the KT_BraintreePaymentDropin component to support required Terms and Conditions validation, which currently doesn't exist in the payment UI forms.","KT_BraintreePaymentDropin, RM_BraintreePaymentGateway"
KHELP-11524,Data-Configuration,How-To-Question,20,"This is a test ticket with no functional content, so I'm classifying it broadly under system configuration as the most generic category, with low confidence due to lack of real issue details.",None detected
KHELP-11523,Pricing-Engine-Calculation,Bug-Defect,95,"The pricing engine is failing to recalculate group payment totals when passenger allocations are changed, which is a clear system defect.","Itinerary Groups, Passenger allocation, Group Payment Totals, Payment schedules"
KHELP-11522,Availability-Checking,Bug-Defect,95,ASearch (Availability Search) is not populating data which indicates a broken functionality in the availability checking system.,"ASearch, SITPartial sandbox, KT API sync, bulk jobs"
KHELP-11521,Service-Configuration,Bug-Defect,95,"This is a system malfunction where rail booking confirmations are failing with specific error messages about external supplier conversion and invalid query arguments, clearly indicating a defect in the service configuration and booking process.","Rail booking system, External supplier integration, Booking confirmation, Amtrak service provider, Session management"
KHELP-11520,Permissions-Access-Security,Configuration-Setup,95,"This is a request to configure user access permissions in Jira, which is a system setup task involving permissions and access security.","Jira access permissions, user provisioning, email verification"
KHELP-11519,Email-Notifications-Sending,Bug-Defect,95,"Quote emails are failing to send to clients after Sendgrid installation, indicating a broken email notification delivery system.","Sendgrid, Quote emails, Email delivery system, SIT environment"
KHELP-11518,Passengers-Customer-Info,Bug-Defect,95,"This is a bug in the passenger linking functionality where special characters in names prevent proper Person Account search and data population, representing a functional regression that was working previously.","Passenger tab, Link to Person Account search, Person Account data population, special character handling"
KHELP-11517,Data-Configuration,How-To-Question,95,"User is seeking consultation and guidance on which Eiffel version to use for their production upgrade, making this a configuration/setup question rather than a defect.","Eiffel release, version 19.3.8, production environment, upgrade paths"
KHELP-11516,Data-Configuration,Bug-Defect,95,"The system is failing to process service data updates due to flow execution limits being exceeded during bulk operations, which is a clear defect in the data import functionality.","Kaptio Data Loader, SalesForce Inspector, Custom Flow (Service | Update Hold on Itinerary Items), Service hold fields (Hold_Type__c, Hold_Until_Days_Prior__c)"
KHELP-11515,Inventory-Allotment-Management,Bug-Defect,95,"This is a defect in the inventory allotment system where availability is not properly updated when bookings transition from option to booked status, causing incorrect availability displays.","Inventory allocation, booking status synchronization, hotel room allotment, service name management"
KHELP-11512,Data-Configuration,Configuration-Setup,95,"The user is requesting setup of API connections and system configuration on their sandbox org, which is a clear configuration/setup task in the data configuration domain.","KTAPI, QUIP connection, KT2 org, Prodly, admin account"
KHELP-11511,Inventory-Allotment-Management,Bug-Defect,95,"The inventory system is malfunctioning by not properly tracking booked/reserved items and allowing overbooking, which is a clear system defect in the inventory allotment management functionality.","Inventory system, Allotment management, Activities booking, Booking records, Availability tracking"
KHELP-11510,Builder-Edit-Service,Feature-Request,85,"This is a request for new functionality to allow custom naming of itinerary templates within the Builder area, as evidenced by the rejected feature request referenced in comments.","Itinerary Templates, User Favorites, Page Layout, Name Field, Field Sets"
KHELP-11509,Builder-Edit-Service,Bug-Defect,85,"The user reports that the ""Ask A question function"" for itinerary comments is not working, which is a broken functionality (bug) within the itinerary builder area.","Itinerary Comments, Ask A Question Function, Fiji Testing Environment"
KHELP-11508,Documents-Generation-PDF,Bug-Defect,95,"The RoomID field showing ""undefined"" in generated document content is a clear defect in the document generation system where expected data is not being properly populated.","Invoice documents, Guest content breakdown, Room ID data field, PerPrice breakdown"
KHELP-11507,Builder-Edit-Service,Feature-Request,95,"User is requesting inline editing capability for sell prices in Builder which doesn't currently exist, making this a feature request for the service editing functionality.","Builder, Sell Price, Inline editing"
KHELP-11506,Builder-Add-Service,Bug-Defect,90,"The ""loss of visibility on supplier"" in Builder when selecting services indicates broken functionality where supplier information should be displayed but isn't, and this relates specifically to the service addition process in the Builder.","Builder, Supplier visibility, Service selection"
KHELP-11505,Booking-Quote-Management,Bug-Defect,95,"The enquiry conversion process (quote to booking conversion) is not working in their environment, which is clearly a functional defect requiring a changeset deployment to fix.","Enquiry Conversion Process, Full Copy environment, version 16.1.32"
KHELP-11504,Documents-PNR-Import,Bug-Defect,95,"The system is throwing 500 errors when importing PNRs from Amadeus Graphic mode while Cryptic mode works, indicating a clear defect in the PNR import functionality.","Amadeus PNR import, Graphic mode, Cryptic commands, passenger type handling"
KHELP-11503,System-Error-Exception,Bug-Defect,95,"This is a system deployment failure with validation errors preventing change set deployment, which is a defect in the deployment process rather than a user guidance issue.","ttcWebInvoiceController apex class, change set deployment, validation failures"
KHELP-11501,Documents-Generation-PDF,Feature-Request,95,"The user is requesting new functionality to automatically add hyperlinks in generated itinerary documents, which is a feature enhancement for the document generation system.","Generated itinerary content, Products/Services, Hyperlinks, Content documents"
KHELP-11500,System-Error-Exception,Bug-Defect,95,"The user is experiencing a system error (""Completed with failures"") when using KaptioTravel__BulkOperation__c, indicating a system exception/error rather than a how-to question.","KaptioTravel__BulkOperation__c, Bulk Operations"
KHELP-11499,Booking-Amendments,Bug-Defect,95,"This is a clear defect where changing agency on bookings causes unintended side effects like price changes and discount removal, indicating broken functionality rather than a user guidance need.","Itineraries, Itinerary Items, Agency Accounts, Booking Amendments, Flash Sale Discounts, Rail Service Items, Confirmation Status"
KHELP-11498,Booking-Amendments,Bug-Defect,95,"The system is incorrectly creating duplicate snapshot bookings when amendment merging fails, which is defective behavior that prevents normal booking amendment operations.","Amendment merging, snapshot bookings, booking versions, duplicate snapshot handling"
KHELP-11497,Passenger-Data-Entry,Bug-Defect,95,"The documented passenger removal functionality is not working properly in their org setup, showing only column headers with no passengers available for selection.","Passenger tab, itinerary passenger removal, costings passenger removal"
KHELP-11496,Costings-Margin-Markup,Bug-Defect,95,"The user is encountering a System.NullPointerException error when trying to add costing items to an itinerary, which is a clear system defect in the costing functionality.","Itinerary, Costing Items, KaptioTravel.OnItineraries Trigger, SEA Ocean Drink Package"
KHELP-11495,Data-Configuration,How-To-Question,85,"User is requesting guidance on deployment steps and coordination for system upgrade, which is a configuration/setup question rather than a defect.","Kaptio Fiji build, SITPartial sandbox, deployment process"
KHELP-11494,Invoicing-Generation,Bug-Defect,95,"User is encountering a specific technical error message when trying to generate an invoice, indicating the invoicing system is broken due to exceeding database query limits.","Invoice generation, booking ATI43089, SOQL query limit"
KHELP-11493,Booking-Wizard-Confirmation,Bug-Defect,95,"The API booking confirmation process is failing with errors and the retry functionality is not working, indicating a defect in the booking wizard confirmation system.","API booking confirmation, reinitiate/rescommit calls, retry button, GP logs, reservation system"
KHELP-11492,Booking-Quote-Management,Bug-Defect,95,"The user properly configured optional activities for the booking wizard but they're not displaying as expected, and navigation buttons are also broken, indicating functional defects in the booking wizard system.","Package configuration, Optional activities, Booking Wizard, Day-by-day view, Navigation buttons, Itinerary"
KHELP-11491,Package-Search-UI,Bug-Defect,95,"This is a Package Search UI bug where clicking on items displays ""[object Object]"" instead of proper item information, indicating a JavaScript object-to-string conversion error.","Package Search, item display, click handlers, UI rendering"
KHELP-11490,Builder-Add-Service,Bug-Defect,95,"User cannot add flight placeholder services in the builder which works in source org but not destination org, indicating a defect in the service addition functionality.","Builder tab, Itinerary, Flight placeholder, Service add functionality, Org migration"
KHELP-11489,Data-Configuration,Configuration-Setup,95,"This is a system administration request to update submitter metadata on existing tickets, which requires configuration-level changes to system data.","KHELP ticketing system, user metadata, submitter information"
KHELP-11488,Builder-Addons-Supplements,Bug-Defect,95,"Kaptio is incorrectly auto-adding duplicate insurance supplements to bookings that already have insurance, which is a clear system defect in the add-ons functionality.","Insurance supplements, booking management, automatic posting, payment processing"
KHELP-11487,Data-Configuration,Configuration-Setup,95,"User is requesting setup of Kaptio API/QUIP connection on their sandbox org, which is a clear configuration/setup task involving data access configuration.","Kaptio API, QUIP connection, KT1 sandbox org, Prodly data seeding tool, admin account"
KHELP-11486,Data-Configuration,How-To-Question,85,"User is seeking guidance on whether Kaptio needs to handle a Salesforce API version upgrade notification, which involves system configuration consultation.","Salesforce sandbox org, ICU locale formats, API version 45, Apex classes, Apex triggers, Visualforce pages"
KHELP-11485,Pricing-Engine-Calculation,Bug-Defect,95,"The pricing calculation is mathematically incorrect (not multiplying unit price by quantity), indicating a defect in the pricing engine calculation logic.","Itinerary pricing, unit price calculation, quantity multiplication, total price calculation, pricing engine"
KHELP-11484,Data-Configuration,How-To-Question,90,"User is seeking guidance on how to work around a known platform limitation for row-level formulas in reports, asking how other customers handle this constraint.","Row level formulas, Reports, Date calculations, Salesforce platform"
KHELP-11483,Booking-Quote-Management,How-To-Question,95,"The user is asking ""How can we set up"" automation for quote status updates, which is a guidance request about quote management configuration.","Itinerary status, Quote Building status, Quote Sent status, Channel configuration, Stages configuration, Quote Stage automation"
KHELP-11482,Booking-Wizard-Confirmation,Bug-Defect,95,"Users are experiencing lock and duplicate errors during rail reservation confirmation which prevents normal booking flow completion, indicating a system defect rather than user error or configuration issue.","Rail confirmation process, lock error handling, duplicate error handling, booking confirmation workflow, rail SPI"
KHELP-11480,Documents-Generation-PDF,Bug-Defect,95,"The PDF generation is malfunctioning by showing different content than the HTML version, which is a clear defect in the document generation system.","PDF generation, KT Agenda, service content display, document generation system"
KHELP-11479,Permissions-Access-Security,Configuration-Setup,95,"This is a request to configure user access permissions for Jira/KHELP system, which is a system administration setup task involving access security.","Jira access permissions, KHELP ticket system, user account management, Service Support Team access"
KHELP-11647,Documents-Generation-PDF,Bug-Defect,95,"The detailed itinerary works in review but fails with a null reference error during PDF generation, indicating a clear programming defect in the PDF document generation process.","PDF generation, detailed itinerary component, document review system"
KHELP-11646,Payment-Processing,Bug-Defect,95,"The system is incorrectly processing duplicate payments for packages, which is a clear defect in the payment processing functionality.","Agent portal, Payment processing, Braintree Payments, Salesforce, RTR packages, Booking system"
KHELP-11645,Document-Delivery-Issues,How-To-Question,85,"User is seeking guidance on how to investigate and retry failed automated document delivery actions, not reporting a system defect.","Kaptio Actions, booking confirmation documents, Async Requests tab, automated document delivery process"
KHELP-11644,Documents-PNR-Import,Feature-Request,85,"The ticket requests enhancing the PNR generation process to consolidate multiple rail segments into one PNR for Amtrak packages, and is explicitly labeled as an enhancement rather than a bug.","Amtrak rail packages, PNR generation, rail segments, package components, rail SPI"
KHELP-11643,Email-Notifications-Sending,Configuration-Setup,95,"The user needs administrative setup to configure SendGrid access for email management, which falls under email notifications sending functionality.","SendGrid, Email Dashboard, Email Sending System"
KHELP-11642,Cabin-Room-Assignment,Feature-Request,95,"This is a request to add new popup warning functionality for cabin removal operations, which directly relates to cabin room assignment processes.","Cabin removal, popup warnings, conversion rate tracking, sales agent interface, itinerary management"
KHELP-11641,Invoicing-Generation,Bug-Defect,95,"The invoice generation system is producing incorrectly formatted invoices with wrong address format and missing travel end date, which are functional defects in the invoicing system.","Invoice formatting, address formatting, travel end date, supplier invoices"
KHELP-11640,Builder-Edit-Service,Feature-Request,85,"The user is requesting that cost and price information be added to the itinerary item history feature within the Itinerary Builder, which they describe as something that ""would be extremely helpful.""","Itinerary item history, service cost/price tracking, price change research functionality"
KHELP-11639,Data-Configuration,Configuration-Setup,95,"This involves configuring/reconfiguring the UAT connection to Kaptio KTAPI after a planned sandbox refresh, which is a system configuration task rather than a defect or how-to question.","UAT sandbox, Kaptio KTAPI, API connection"
KHELP-11638,Cabin-Room-Assignment,Feature-Request,95,"This is a request to add new warning popup and reporting functionality for cabin removal impacts, which falls under cabin management features.","Cabin removal, warning popups, passenger deletion tracking, conversion rate reporting, commission structure"
KHELP-11637,Data-Configuration,Data-Issue,95,"The ticket reports duplicate record types created by a production patch causing data integrity issues and deployment failures, which is a clear data problem requiring system configuration fixes.","Service object, Package_Item record type, production patch, test classes, deployments"
KHELP-11636,Documents-Generation-PDF,Bug-Defect,90,"The SOA history functionality that previously worked in snapshot bookings is now broken and showing error messages, making this a clear defect in the documents system.","Snapshot bookings, SOA history, passenger records, document audit trail"
KHELP-11635,Pricing-Engine-Calculation,Configuration-Setup,95,"The user is requesting a configuration change to modify how the total net amount field is calculated by adding filter criteria to exclude cancellation items, which is a pricing calculation setup task.","KaptioTravel__TotalAmountNet__c field, Itinerary object, Mode field, filter criteria, total amount calculation"
KHELP-11634,Payment-Processing,How-To-Question,95,"User needs expert guidance on PCI compliance classification for their Kaptio Pay/Braintree payment integration, which is a consultation question rather than a technical defect.","Kaptio Pay, Braintree, PCI compliance, payment integration"
KHELP-11633,Land-Service-Search,Bug-Defect,95,This is a defect in the land service search functionality where rail date selections are not persisting properly and reverting to original values.,"Manual rail search, calendar date picker, rail segments, date persistence"
KHELP-11632,Pricing-Engine-Calculation,Bug-Defect,95,"The pricing engine is failing to recalculate prices when passenger quantities change on manual rail services, which is a core pricing calculation defect.","Manual rail services, passenger quantity adjustment, price calculation, line items"
KHELP-11630,Pricing-Engine-Calculation,How-To-Question,90,"User is seeking guidance about a new Price Category field and its usage rather than reporting a defect, and this relates to pricing calculation functionality.","Price_Category__c.IsLive__c field, Release notes v17.9, 3rd Party Hotel/Rail feature, Live Availability feature"
KHELP-11629,Package-Search-UI,Bug-Defect,95,"This is a broken package search interface where the API is returning 400 errors, preventing users from searching packages - clearly a defect in the search UI functionality.","ASearch, Kaptio API, Package search, Console errors, Website/booking portal"
KHELP-11628,Costings-Margin-Markup,Configuration-Setup,85,"This is a configuration question about how to set up commission calculations to exclude fees/taxes from reseller commissions, which directly relates to costing and margin markup functionality.","Commission calculation, fees/taxes pricing, cruise booking pricing, reseller commission structure"
KHELP-11625,Builder-Edit-Service,Bug-Defect,95,"The notes functionality in Builder is not working as designed when NewBuilderSave is enabled, indicating a defect in the editing capabilities of the Builder.","Builder, Customer Notes, NewBuilderSave"
KHELP-11624,Permissions-Access-Security,Configuration-Setup,95,"This is a request to configure user access permissions for the KHelp portal system, not a bug or how-to question.","KHelp portal, user permissions, access control"
KHELP-11623,Data-Configuration,How-To-Question,85,"The user is requesting guidance on how to handle Salesforce API version updates and what they should configure themselves versus managed package updates, which is a configuration guidance question.","Salesforce API versions, Apex classes, Apex triggers, Visualforce pages, managed packages"
KHELP-11622,Inventory-Allotment-Management,Bug-Defect,95,"The ticket reports defects in the inventory module's room counting functionality where booked rooms are being tracked incorrectly, which is a clear bug in the inventory allotment management system.","Inventory module, room allotments, booking amendments, room availability tracking"
KHELP-11621,Data-Configuration,Configuration-Setup,95,"The user is requesting setup of API connections and data seeding infrastructure on a developer sandbox, which is clearly a data configuration setup task.","KTAPI, QUIP connection, TCEDev1 org, Prodly data seeding tool, admin account"
KHELP-11620,Costings-Margin-Markup,Bug-Defect,95,"User is experiencing a price calculation error when trying to add costings to a service, which indicates a defect in the costings/pricing system rather than a user guidance issue.","Itinerary, Service Costings, Price Calculation Engine, Gaylord Service"
KHELP-11619,Booking-Quote-Management,How-To-Question,65,"The user is showing how booking requests look from the system but the issue is unclear, suggesting they need guidance or clarification about booking request processes rather than reporting a specific defect.","booking requests, system-generated requests"
KHELP-11618,Documents-PNR-Import,Bug-Defect,95,"User is encountering an Internal Server Error when attempting to import a PNR, which is a clear system defect in the PNR import functionality after third-party (Travelport) confirmed no issues on their end.","PNR Import, Internal Server Error, Travelport integration, PNR 991DNM"
KHELP-11617,Booking-Quote-Management,How-To-Question,95,"User is asking for guidance on how to customize/remove a button from quote documents, which is quote management configuration help rather than a defect.","KaptioTravel:CustomerActions, Channel Stage Actions"
KHELP-11615,System-Error-Exception,Bug-Defect,95,"The calculated field KaptioTravel__AllocationDays__c is malfunctioning with ""unexpected behaviour"" that's breaking custom reporting functionality, which is clearly a system error/defect.","KaptioTravel__AllocationDays__c, KaptioTravel__Allocation__c, KaptioTravel__Itinerary_Item__c, formula calculation, custom reporting"
KHELP-11614,Email-Notifications-Sending,Bug-Defect,85,The issue involves Outbound Messages not being created (Email-Notifications-Sending) and represents something that was previously working but broke around a specific date (Bug-Defect).,"Flow (RTFL-01), Outbound Messages, booking confirmation process, Sendgrid, Kaptio Apex class, Create Record element"
KHELP-11613,Builder-Addons-Supplements,Bug-Defect,95,This is a defect in the Itinerary Builder's add-on/supplement pricing functionality where a mandatory helicopter add-on shows $0 instead of the loaded price.,"Service add-ons, helicopter flight add-on, price calculation, mandatory add-ons"
KHELP-11611,Land-Service-Search,Bug-Defect,95,"This is a defect in the Service Search interface where scroll functionality breaks after the second search, and Land-Service-Search covers the service search functionality and user interface.","Service Search interface, scroll bar mechanism, search results display"
KHELP-11609,Land-Service-Search,Feature-Request,95,The user is requesting new functionality to display Price Category Names instead of External Names in Service Search and suggesting a settings page for Service Search configuration.,"Service Search display, External Name, Price Category Name, child pricing, settings configuration"
KHELP-11608,Pricing-Engine-Calculation,Bug-Defect,95,"The pricing calculation for the ""Camping"" optional component was previously working correctly but is now returning zero instead of USD165pp, indicating a broken pricing engine calculation.","Package ANP175S, Camping optional component, pricing calculation engine"
KHELP-11607,Inventory-Allotment-Management,Bug-Defect,95,"The user reports that Itinerary Item Allotment Day records are automatically deleted and allotments aren't being properly allocated, indicating broken functionality in the inventory allotment system.","Itinerary Item Allotment Day, Hotel allocation, Inventory rechecking, Allotment management"
KHELP-11606,Costings-Margin-Markup,How-To-Question,95,"The user is seeking clarification on how Kaptio's margin calculation methodology works rather than reporting a defect, and this directly involves the costings and margin markup functionality.","Margin calculation methodology, Costings screen, Profit Margin, Total Price Net"
KHELP-11605,Builder-Add-Service,Bug-Defect,95,"Users experience a blank builder interface when trying to add packages, which is confirmed as a core system bug requiring a fix.","Builder, Package Shopping, Core System"
KHELP-11604,Pricing-Engine-Calculation,Bug-Defect,95,"The inflation rules are incorrectly selecting 2023 pricing instead of the more recent 2024 pricing when 2025 isn't available, indicating a defect in the pricing engine's logic.","Inflation Rules, Price Manager, Season-based pricing"
KHELP-11603,Builder-Edit-Service,Bug-Defect,95,"The system should auto-populate locations when editing existing rail services but is failing to do so, indicating a defect in the service editing functionality.","Rail service editing, Location auto-population, Search fields, Service line items"
KHELP-11602,Builder-Add-Service,Bug-Defect,90,"This is a defect in the itinerary builder where passenger creation behaves inconsistently between new vs cloned itineraries, and Builder-Add-Service covers adding passengers during itinerary building.","KT_RhinoVoucherOutputDto, KT_RhinoInvoiceController"
KHELP-11601,Builder-Edit-Service,Bug-Defect,95,"Users cannot properly edit rail services in the itinerary builder as prices incorrectly drop to $0.00 and deletion functionality is completely broken, requiring manual workarounds.","Rail search, Builder screen, Service pricing, Service deletion, Item details, Service mode settings"
KHELP-11599,Costings-Margin-Markup,Feature-Request,85,"The user is requesting a new feature to automatically sync service ordering between Itinerary Builder and Costings sections, not reporting a bug or asking for guidance.","Itinerary Builder, Costings section, drag and drop functionality, service ordering"
KHELP-11598,Builder-Edit-Service,Bug-Defect,95,"User encounters an ""Occupancy Assignment Error"" when trying to edit hotel choices in an itinerary line item, which is clearly a defect in the service editing functionality.","Hotel services, line item editing, occupancy assignment, itinerary management"
KHELP-11597,Data-Configuration,Configuration-Setup,95,"The user is asking for guidance on setting up dummy API responses and credentials configuration for a training environment, which is clearly a system configuration setup question rather than a bug or feature request.","GP supplier integration, training environment, API responses, supplier configurations, hotel configurations, credentials setup"
KHELP-11595,Email-Notifications-Sending,Bug-Defect,95,"Emails are failing to send due to database transaction errors (error code 3000), which is a clear system defect affecting the email notification sending functionality.","Email sending system, database transaction handling, automated emails, quote emails, booking confirmation emails"
KHELP-11593,Document-Delivery-Issues,Bug-Defect,95,"Invoice document links are generating incorrect URLs pointing to a disabled Communities site instead of the new Agent Portal, preventing document access.","Agent Portal, Invoice Documents, URL Generation, Document Links"
KHELP-11592,Package-Configuration,Feature-Request,85,"The user is requesting specific work to generate 2025 XML extract files for Canadian packages, which is asking for new capability/work to be performed rather than reporting a bug or asking how to do something.","2025 XML Extract files, Canadian packages, Rail-Only products, XML export functionality, Images and descriptions"
KHELP-11591,Cabin-Room-Assignment,Bug-Defect,90,"The ticket describes multiple system errors with occupancy calculations and passenger assignments across different service types, which is a core cabin/room assignment functionality defect.","Transfer services, Activity services, Flight Placeholder, Vehicle occupancy, Non-accommodation services, Passenger data files"
KHELP-11590,Builder-Add-Service,Bug-Defect,95,"This is a defect in the Itinerary Builder's add service functionality where warning messages display incorrect dates, causing confusion for users when adding services to itineraries.","Itinerary Builder, Service addition, Error/warning popups, Date display, Availability warnings"
KHELP-11589,Builder-Add-Service,Bug-Defect,95,"The issue occurs when adding services in Itinerary Builder where pricing calculations with default meal plans should work automatically but are failing until manual intervention, indicating a clear defect in the service addition functionality.","Itinerary Builder, Service Addition, Board Basis/Meal Plan, Price Category, Rate Calculations"
KHELP-11588,Availability-Checking,Bug-Defect,95,"The Allied T Pro API integration is not working correctly as it fails to return available hotel inventory that exists in the supplier's portal, indicating a defect in the availability checking functionality.","Allied T Pro API, hotel availability checking, external supplier integration"
KHELP-11587,Builder-Edit-Service,Bug-Defect,95,"The page jumping to top after saving edits in Builder is a UI defect affecting the editing workflow, not working as designed.","Builder, Save functionality, Page scroll position"
